"","operator"
"1","ABC Container Line"
"2","Admiral Lines"
"3","Admiral Shipping"
"4","Alianca"
"5","America-Africa-Europe Line"
"6","American Export Lines"
"7","American Mail Line"
"8","American President Lines"
"9","AmTrans"
"10","Arpa Shipping BV"
"11","Atkabtuca SpA"
"12","Atlantic Cargo Service"
"13","Atlantic Cargo Services AB"
"14","Atlantic Container Line"
"15","Atlantic Container Line AB"
"16","Atlantic Lash"
"17","Atlanttrafik/Barber Blue Sea"
"18","Australian National Line/Associated Container Transportation Australia"
"19","Baltatlantic"
"20","Baltic Shipping Co A/S"
"21","Bank Line"
"22","Barber Blue Sea Line"
"23","Ben Line"
"24","Bermuda Container Line"
"25","Blasco"
"26","Blue Funnel Kine"
"27","Booker Line Ltd"
"28","Booth"
"29","Brisa"
"30","BSC"
"31","Canisa"
"32","Canmar"
"33","Canmar/OOCL"
"34","Caribtainer"
"35","Cast Line"
"36","CC Line"
"37","CCL"
"38","CD"
"39","Chargeurs Reunis"
"40","Chipolbrok"
"41","Cho Yang"
"42","Cia Transatlantica Espanola"
"43","Ciamar"
"44","Cie Generale Maritime"
"45","Combi Line"
"46","Compagnie Generale Maritime"
"47","Compagnie Maritime Belge"
"48","Compagnie maritime d'affretement"
"49","Compania Chilena de Navegacion Interoceanica"
"50","Compania SudAmericana de Vapores SA"
"51","Conship"
"52","Constellation"
"53","Contemaris"
"54","Contenemar SA"
"55","Contract Marine Carriers"
"56","Contship"
"57","Cosco"
"58","CP Ships"
"59","CPV"
"60","CSC"
"61","CTC"
"62","d'Amico"
"63","Dannebrog"
"64","Dart Containerline"
"65","Deppe"
"66","Deutsche Afrika-Linien"
"67","DFDS"
"68","DL"
"69","DSR"
"70","EAC West Africa"
"71","East Asiatic Co. A/S"
"72","Eimskip Island ehf"
"73","EISC"
"74","Elma"
"75","Empremar"
"76","ENC"
"77","Euro-Gulf"
"78","Eurobridge Lines"
"79","Europe Paraguay"
"80","Eurosal"
"81","Evergreen"
"82","EWL"
"83","Falline"
"84","Farrell Lines"
"85","Fesco"
"86","Finland Steamship"
"87","Finnlines"
"88","Franco-Belgian Services"
"89","Fred Olsen"
"90","Frigo"
"91","Frota Oceanica"
"92","Galleon"
"93","GBCS"
"94","Grancolombiana"
"95","Great Eastern Shipping Corp"
"96","Grimaldi"
"97","GSAL"
"98","Gulf Container"
"99","Hamburg-Sud"
"100","Hanjin"
"101","Hapag-Lloyd"
"102","Harrison Line"
"103","Havenlijn"
"104","Hellenic Lines"
"105","Hoegh Lines"
"106","Hong Kong Cont Line"
"107","Hyundai Merchant Marine Co Ltd"
"108","Ibero Lines"
"109","Ibertrans"
"110","Incotrans"
"111","Independent"
"112","India SS"
"113","Italia"
"114","Italia marittima SpA"
"115","Jadroplov International Maritime Transport Ltd"
"116","Japan Line"
"117","Japanese joint service"
"118","Johnson-Scanstar"
"119","Johnson Line"
"120","Joon Liner"
"121","Jugolinija"
"122","K-Line"
"123","Kent Line"
"124","Kent Line International Ltd"
"125","KNSM"
"126","Knutsen Line"
"127","Korea Marine Trans/NYK"
"128","KSC"
"129","Kyowa"
"130","Laser Lines"
"131","Lash Carriers"
"132","Latvian Shipping Co"
"133","Lauro"
"134","Lineas Navieras Bolivianas SAM"
"135","Lloyd Brasileiro"
"136","Lloyd Triestino"
"137","Lykes Lines"
"138","Maersk"
"139","Malaysian International Shipping Corp Bhd"
"140","Mambisa"
"141","Manchester Liners"
"142","Marasia"
"143","Marfret"
"144","Maritime Container Line"
"145","Maruba"
"146","Matson"
"147","Med-Club"
"148","Merzario"
"149","MFECS"
"150","Mixte"
"151","MOL"
"152","MOL/NYK"
"153","Montemar"
"154","Montreal Europe Nav"
"155","Montreal Shipping Inc"
"156","Moore-McCormack Lines Inc"
"157","MSC"
"158","Nav del Odiel"
"159","Navale et Commerciale Havraise Peninsulaire"
"160","Naviera Pinillos SA"
"161","Nedlloyd"
"162","Neptune Orient Lines"
"163","New England Express Line"
"164","Nissan"
"165","NLS"
"166","Norasia"
"167","Norient Line"
"168","NSCP"
"169","NSCSA"
"170","NYK"
"171","NYK/Showa"
"172","Occon Line"
"173","Ocean Lines"
"174","OCL"
"175","Omex"
"176","OOCL"
"177","OPDR"
"178","P&O Containers"
"179","Pacific Far East Line"
"180","Pacific International Lines (Pte) Ltd"
"181","Pacific Steam Navigation Co"
"182","Phoenix Container Line"
"183","PNSC"
"184","Polish Ocean Lines"
"185","Portline"
"186","Prudential Grace Line"
"187","Prudential Lines"
"188","PSNC"
"189","PT Perusahaan Pelayaran Samudera 'Trikora Lloyd'"
"190","Quayport Line"
"191","Rainbow"
"192","Rickmers"
"193","Ro-Lo Pacific Line"
"194","Samband"
"195","Samudera"
"196","ScanDutch"
"197","ScanPacific Line"
"198","Scindia"
"199","Sea-Land"
"200","Seaboard Pacific Line"
"201","Seas"
"202","Seatrain Lines"
"203","Seaway Express Lines"
"204","Senator"
"205","Sinotrans"
"206","SMTM"
"207","Societe Navale Caennaise (SNC) Anct Gaston Lamy & Compagnie"
"208","Splosna Plovba"
"209","Star Shipping"
"210","Surinam"
"211","Tecomar"
"212","TFH Line"
"213","The Shipping Corporation of India Ltd"
"214","The Unithai Line Ltd"
"215","TMM"
"216","Topgallant"
"217","Trans Freight Lines"
"218","Transmediterranea"
"219","Transnave"
"220","Transroll"
"221","Trasatlantica"
"222","TRIO"
"223","UASC"
"224","Uiterwyck Lines"
"225","UMAG"
"226","Unimex/Deppe"
"227","United States Lines"
"228","Universal Americas Lines"
"229","USSR"
"230","Wan Hai"
"231","Waterman Transport Inc"
"232","WEC"
"233","Westwood"
"234","Wilhelmsen Lines A/S"
"235","Y-S Line"
"236","Yangming"
"237","Ybarra"
"238","Zim"
